회사명,공고명,"채용 형태(경력, 신입)",직장 위치,키워드,마감 기한,공고 링크
에이피알,[에이피알] 데이터 애널리스트(DA) 인턴 및 경력사원 모집,신입·경력2년↑,서울 송파구,데이터애널리스트,상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43352423?Oem_Code=C1&logpath=1&stext=&listno=57
㈜디지캡,"㈜디지캡 시스템(서버, C++) 소프트웨어 개발자 모집",신입·경력,서울 강서구,"모바일앱개발, 소프트웨어개발",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43351111?Oem_Code=C1&logpath=1&stext=&listno=58
유비벨록스㈜,유비벨록스 23년 하반기 인원모집,신입·경력,서울 구로구 외,"문서작성, 전산입력, 전산관리, 웹표준·웹접근성, 수출입계약, 저작권, 조립, 보안인증, 인터페이스, 행정, 품질보증, 해상무역, SI개발, 납품영업, 비품관리, 생산관리, 품질보증, 옵셋인쇄, 국책사업기획, 검증",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43344783?Oem_Code=C1&logpath=1&stext=&listno=59
로지스올그룹,로지스올시스템즈 신입/경력사원 채용(IT시스템 개발),신입·경력1년↑,서울 마포구 외,"네트워크관리, 물류센터, 창고관리, 빅데이터, 데이터관리, SI개발, 웹표준·웹접근성, 펌웨어, 데이터레이크, Rest-API, 물류관리, GUI, 데이터분석, 전산지원, JavaScript, jquery, 물류센터, 시스템영업, CSS, 딥러닝",~11/29(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43341741?Oem_Code=C1&logpath=1&stext=&listno=60
㈜에이디엔노뜨,㈜에이디엔노뜨 각부문 신입/경력 채용,신입·경력,서울 서초구,"행사기획, SI개발, 유지보수, 영상제작, 네트워크관리, 공연기획, 방송제작, 시스템운영, 전시기획, 영상제작, 제휴마케팅, SNS마케팅, 네트워크관리, 바이럴마케팅, 영상제작, SI개발, 통신설비, 영상제작, SNS마케팅, 방송제작",~01/15(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43346767?Oem_Code=C1&logpath=1&stext=&listno=61
㈜나이스커피시스템,"[정규직] 커피머신 A/S·설치·수리·관리 신입,경력 채용 모집",신입·경력,서울 서초구 외,"전기설비, 기술지원, 유지보수, A·S수리, 기술지원, 시공관리, A·S센터, A·S수리, 설치, 자동제어, 커피머신, 유지보수",~11/25(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43346293?Oem_Code=C1&logpath=1&stext=&listno=62
㈜애반,"웹 디자이너, 웹 퍼블리셔, 웹기획, 바리스타, PD, BJ, 사육사, 경리 등,, 모집",신입·경력,경기 하남시 외,"영상편집, 동물원, 사육사, 애견샵, bj, Sketch, UI·UX디자인, 애견기업, 컨설팅, 서비스기획, 앱기획, 콘텐츠기획, 4대보험, 결산, 관리회계, 더존, 법인결산, 부가세신고, 원가회계, 재무회계",~01/15(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43344750?Oem_Code=C1&logpath=1&stext=&listno=63
㈜씨앤에스,"반도체자동화설비,장비(Maintenance ) 유지보수 및 전산모니터링 직원 모집",신입·경력,경기 화성시 외,"전산입력, 모니터링, ㈜씨앤에스, A·S수리, 기술지원, 반도체장비, 유지보수, 설비, 네트워크관리, 장애관리, 품질테스트, 유지보수, 전산시스템, 유지보수",~11/23(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43340716?Oem_Code=C1&logpath=1&stext=&listno=64
㈜펫박스,(주)펫박스 23년 각 분야 인재 채용(온라인MD/영업지원/브랜드 퍼포먼스마케터/해외직구 MD/콘텐츠 디자이너/CS/PM/개발자),신입·경력,서울 마포구 외,"사이트관리, 웹표준·웹접근성, 거래처관리, B2C, UI·UX기획, SNS마케팅, 고도화, 행정, 카페·블로그관리, 해외마케팅, 수출입관리, 브랜딩, 전자상거래, 중국어, 카페·블로그관리, 프로모션, UI·UX디자인, 광고기획, 대리점관리, 고객지원",~01/14(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43318415?Oem_Code=C1&logpath=1&stext=&listno=65
㈜비아트론,디스플레이장비 제어 Software개발,신입·경력3년↑,경기 수원시,"C++, C#, 시스템분석, 시스템운영, 반도체, 자동제어, 클라이언트, 시스템설계, 디스플레이, C, 장비제어, 시스템설계, 제어프로그램",~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43348283?Oem_Code=C1&logpath=1&stext=&listno=66
